URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/us/codex-mopa/CodeSystem/ocpa-codes,0.1.0,draft,,OcpaCodesCS,MOPA Local Code System,"Local codes defined by the MOPA IG for concepts that do not yet have an established representation in LOINC, SNOMED CT, or mCODE. These codes are migration candidates and should be retired in favor of standard codes as they become available.",
http://hl7.org/fhir/us/codex-mopa/CodeSystem/treatment-line-cs,0.1.0,draft,,TreatmentLineCS,Treatment Line Code System,"Ordinal codes representing the line of systemic anti-cancer therapy. These codes are used in the TreatmentLineVS value set and on the LineOfTherapyObservation and regimen profiles.  **mCODE Migration Candidate** — These codes are proposed for adoption in mCODE STU5 or as a SNOMED CT extension request. Once standard codes are available, this code system should be deprecated.",
